date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2023-03-31,119650,9924173310.0,102765479030.0,112689652340.0
2022-12-31,119650,7338783800.0,121672752470.0,129011536270.0
2023-09-30,092220,1478407250.0,50629036600.0,52107443850.0
2023-06-30,092220,124610620.0,56979721870.0,57104332490.0
2023-03-31,092220,4548456730.0,47271982020.0,51820438750.0
2022-12-31,092220,6620130690.0,39942267350.0,46562398040.0
2023-09-30,003620,114142807650.0,790595996400.0,904738804050.0
2023-06-30,003620,126964940410.0,878386293020.0,1005351233430.0
2023-03-31,003620,120514621590.0,964504240610.0,1085018862200.0
2022-12-31,003620,102997766290.0,916608368380.0,1019606134670.0
2023-09-30,016380,108270558980.0,776654045560.0,884924604540.0
2023-06-30,016380,114383341360.0,773630223060.0,888013564420.0
2023-03-31,016380,106223247340.0,712394435640.0,818617682980.0
2022-12-31,016380,74005187680.0,734247767880.0,808252955560.0
2023-09-30,001390,319906260780.0,1900703545440.0,2220609806220.0
2023-06-30,001390,344011735930.0,1977835597000.0,2321847332930.0
2023-03-31,001390,360259185660.0,2029320798320.0,2389579983980.0
2022-12-31,001390,320940668990.0,1991466448120.0,2312407117110.0
2023-09-30,033180,6533671370.0,37976555040.0,44510226410.0
2023-06-30,033180,7701555260.0,20530721490.0,28232276750.0
2023-03-31,033180,10360156190.0,28322476890.0,38682633080.0
2022-12-31,033180,7860753370.0,34316520430.0,42177273800.0
2023-09-30,015590,5100617710.0,25926466850.0,31027084560.0
2023-06-30,015590,6938619980.0,25533014830.0,32471634810.0
2023-03-31,015590,8516759850.0,24429725840.0,32946485690.0
2022-12-31,015590,2440925520.0,31557530720.0,33998456240.0
2023-09-30,001940,46411914940.0,293548810850.0,339960725790.0
2023-06-30,001940,64468982210.0,343161002710.0,407629984920.0
2023-03-31,001940,49588071940.0,365574537320.0,415162609260.0
2022-12-31,001940,62351453110.0,324463215220.0,386814668330.0
2023-12-31,025000,37130921150.0,191938419270.0,229069340420.0
2023-09-30,025000,37430472350.0,193894250970.0,231324723320.0
2023-06-30,025000,33003174660.0,187967599280.0,220970773940.0
2023-03-31,025000,34686545730.0,195068251650.0,229754797380.0
2022-12-31,025000,37828369550.0,211034408130.0,248862777680.0
2023-12-31,092230,46212123200.0,258489807560.0,304701930760.0
2023-09-30,092230,48041414950.0,262070539120.0,310111954070.0
2023-06-30,092230,45897780790.0,251750400780.0,297648181570.0
2023-03-31,092230,44933320830.0,249614772270.0,294548093100.0
2022-12-31,092230,46810443560.0,261776279600.0,308586723160.0
2023-09-30,000040,1358804670.0,17737033840.0,19095838510.0
2023-06-30,000040,2233234840.0,22857686340.0,25090921180.0
2023-03-31,000040,1218235480.0,15415280350.0,16633515830.0
2022-12-31,000040,4165363610.0,22740030350.0,26905393960.0
2023-09-30,044450,24793963940.0,88710667570.0,113504631510.0
2023-06-30,044450,25645353240.0,96825532990.0,122470886230.0
2023-03-31,044450,26581806060.0,82208430460.0,108790236520.0
2022-12-31,044450,24554232500.0,96129361920.0,120683594420.0
2023-12-31,030200,,,
2023-09-30,030200,4221635000000.0,2475807000000.0,6697442000000.0
2023-06-30,030200,4354870000000.0,2192651000000.0,6547521000000.0
2023-03-31,030200,4042623000000.0,2401053000000.0,6443676000000.0
2022-12-31,030200,3966275000000.0,2605527000000.0,6571802000000.0
2023-12-31,033780,621909843490.0,819523490880.0,1441433334370.0
2023-09-30,033780,827117638370.0,862391923180.0,1689509561550.0
2023-06-30,033780,650893974780.0,685100949290.0,1335994924070.0
2023-03-31,033780,708293543350.0,687376636650.0,1395670180000.0
2022-12-31,033780,672155871210.0,734587359040.0,1406743230250.0
2023-09-30,058850,269447542160.0,269447542160.0
2023-06-30,058850,256041094690.0,256041094690.0
2023-03-31,058850,214942664060.0,214942664060.0
2022-12-31,058850,279845490860.0,279845490860.0
2023-12-31,058860,68616643160.0,,160268069160.0
2023-09-30,058860,145480599150.0,,145480599150.0
2023-06-30,058860,128877310300.0,15613821000.0,144491131300.0
2023-03-31,058860,116765453110.0,25954418000.0,142719871110.0
2022-12-31,058860,124289653950.0,14886727000.0,139176380950.0
2023-09-30,093050,241805533040.0,175056441240.0,416861974280.0
2023-06-30,093050,275792342830.0,198275646110.0,474067988940.0
2023-03-31,093050,251118621440.0,190275913520.0,441394534960.0
2022-12-31,093050,319633099380.0,239204518310.0,558837617690.0
2023-09-30,003550,606858000000.0,1254887000000.0,1861745000000.0
2023-06-30,003550,560644000000.0,1338770000000.0,1899414000000.0
2023-03-31,003550,604425000000.0,1044624000000.0,1649049000000.0
